"filename", "language", "Markdown", "JSON", "Ini", "pip requirements", "JSON with Comments", "TOML", "Python", "Shell Script", "XML", "Draw.io", "CSV", "comment", "blank", "total"
"c:\Users\ppain\repos\python\p3_budman\All.category_map.toml", "TOML", 0, 0, 0, 0, 0, 530, 0, 0, 0, 0, 0, 73, 1, 604
"c:\Users\ppain\repos\python\p3_budman\README.md", "Markdown", 325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 81, 407
"c:\Users\ppain\repos\python\p3_budman\budget_model_config.jsonc", "JSON with Comments", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 11, 0, 40
"c:\Users\ppain\repos\python\p3_budman\budget_model_logging_config.jsonc", "JSON with Comments", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 18, 0, 79
"c:\Users\ppain\repos\python\p3_budman\budman_model.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 369, 0, 0, 71, 1, 441
"c:\Users\ppain\repos\python\p3_budman\level_2_categories.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 248, 0, 1, 249
"c:\Users\ppain\repos\python\p3_budman\main.py", "Python", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 41, 3, 111
"c:\Users\ppain\repos\python\p3_budman\p3_budman.code-workspace", "JSON with Comments", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 50
"c:\Users\ppain\repos\python\p3_budman\pyproject.toml", "TOML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\ppain\repos\python\p3_budman\pyrightconfig.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\ppain\repos\python\p3_budman\pytest.ini", "Ini", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\ppain\repos\python\p3_budman\requirements.txt", "pip requirements", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 1, 165
"c:\Users\ppain\repos\python\p3_budman\settings_example.toml", "TOML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 8, 5, 31
"c:\Users\ppain\repos\python\p3_budman\src\budget_domain_model\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 10, 2, 26
"c:\Users\ppain\repos\python\p3_budman\src\budget_domain_model\budget_domain_model.py", "Python", 0, 0, 0, 0, 0, 0, 966, 0, 0, 0, 0, 638, 48, 1652
"c:\Users\ppain\repos\python\p3_budman\src\budget_domain_model\budget_domain_model_config.py", "Python", 0, 0, 0, 0, 0, 0, 328, 0, 0, 0, 0, 126, 16, 470
"c:\Users\ppain\repos\python\p3_budman\src\budget_storage_model\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 13, 4, 78
